iter	Passed	Remaining
0	55	55789
1	56	28142
2	56	18875
3	57	14211
4	57	11420
5	57	9565
6	58	8242
7	58	7242
8	58	6462
9	59	5841
10	59	5331
11	59	4906
12	59	4546
13	60	4239
14	60	3975
15	60	3747
16	61	3539
17	61	3355
18	61	3190
19	62	3042
20	62	2909
21	62	2786
22	63	2680
23	63	2587
24	64	2496
25	64	2411
26	64	2332
27	64	2256
28	65	2187
29	65	2121
30	65	2061
31	66	2006
32	66	1954
33	67	1909
34	67	1866
35	68	1822
36	68	1780
37	68	1741
38	69	1701
39	69	1664
40	69	1629
41	69	1596
42	70	1564
43	70	1536
44	71	1507
45	71	1481
46	71	1454
47	72	1429
48	72	1406
49	72	1382
50	73	1360
51	73	1339
52	73	1318
53	74	1297
54	74	1278
55	74	1261
56	75	1243
57	75	1225
58	75	1209
59	76	1194
60	76	1177
61	76	1162
62	77	1147
63	77	1132
64	77	1118
65	78	1104
66	78	1092
67	78	1078
68	78	1065
69	79	1052
70	79	1040
71	79	1028
72	80	1016
73	80	1005
74	80	995
75	81	985
76	81	974
77	81	964
78	81	954
79	82	946
80	82	938
81	82	929
82	83	920
83	83	911
84	83	902
85	84	894
86	84	884
87	84	876
88	84	869
89	85	862
90	85	855
91	85	847
92	86	840
93	86	833
94	86	826
95	87	820
96	87	814
97	87	808
98	88	803
99	88	797
100	89	792
101	89	784
102	89	779
103	89	773
104	90	768
105	90	763
106	90	758
107	91	753
108	91	748
109	91	743
110	92	739
111	92	735
112	93	731
113	93	727
114	93	722
115	94	717
116	94	714
117	94	709
118	95	704
119	95	700
120	95	695
121	96	691
122	96	686
123	96	682
124	96	678
125	97	674
126	97	671
127	97	666
128	98	663
129	98	659
130	98	656
131	99	652
132	99	648
133	99	645
134	100	641
135	100	638
136	100	635
137	101	631
138	101	627
139	101	624
140	102	621
141	102	619
142	102	617
143	103	614
144	103	611
145	104	608
146	104	605
147	104	602
148	105	600
149	105	597
150	105	594
151	105	591
152	106	588
153	106	585
154	106	582
155	107	580
156	107	577
157	108	575
158	108	572
159	108	570
160	108	567
161	109	564
162	109	562
163	109	559
164	110	557
165	110	555
166	110	552
167	111	550
168	111	547
169	111	545
170	112	543
171	112	541
172	112	539
173	113	537
174	113	535
175	113	532
176	114	530
177	114	528
178	114	526
179	115	524
180	115	521
181	115	518
182	115	516
183	116	515
184	116	513
185	116	510
186	117	508
187	117	506
188	117	504
189	117	502
190	118	500
191	118	498
192	118	496
193	119	495
194	119	493
195	119	491
196	120	490
197	120	488
198	120	486
199	121	485
200	121	483
201	121	481
202	122	480
203	122	478
204	122	476
205	123	475
206	123	473
207	123	471
208	124	469
209	124	468
210	124	466
211	125	465
212	125	464
213	126	462
214	126	461
215	126	459
216	126	457
217	127	456
218	127	454
219	127	453
220	128	451
221	128	450
222	128	448
223	129	447
224	129	446
225	129	444
226	130	443
227	130	441
228	130	440
229	131	439
230	131	437
231	131	436
232	132	435
233	132	433
234	132	432
235	133	430
236	133	429
237	133	428
238	134	427
239	134	426
240	134	424
241	135	423
242	135	422
243	135	420
244	136	419
245	136	418
246	136	417
247	137	416
248	137	414
249	137	413
250	138	411
251	138	410
252	138	409
253	138	407
254	139	406
255	139	405
256	139	404
257	140	402
258	140	401
259	140	400
260	140	399
261	141	398
262	141	397
263	141	395
264	142	394
265	142	393
266	142	392
267	143	391
268	143	390
269	143	389
270	144	388
271	144	387
272	145	386
273	145	385
274	145	384
275	146	383
276	146	382
277	146	381
278	147	380
279	147	379
280	147	377
281	148	376
282	148	375
283	148	374
284	148	373
285	149	372
286	149	371
287	149	370
288	150	369
289	150	368
290	150	367
291	151	366
292	151	365
293	151	364
294	152	363
295	152	362
296	152	361
297	153	360
298	153	359
299	153	358
300	153	357
301	154	356
302	154	355
303	154	354
304	155	353
305	155	352
306	155	351
307	156	350
308	156	349
309	156	348
310	157	347
311	157	347
312	157	346
313	158	345
314	158	344
315	158	343
316	158	342
317	159	341
318	159	340
319	159	339
320	160	338
321	160	337
322	160	336
323	161	336
324	161	335
325	161	334
326	162	334
327	163	333
328	163	333
329	163	332
330	163	331
331	164	330
332	164	329
333	164	328
334	165	327
335	165	326
336	165	325
337	166	325
338	166	324
339	166	323
340	167	322
341	167	321
342	167	321
343	167	320
344	168	319
345	168	318
346	168	317
347	169	317
348	169	316
349	169	315
350	170	314
351	170	313
352	170	313
353	171	312
354	171	311
355	171	310
356	172	309
357	172	309
358	172	308
359	172	307
360	173	306
361	173	305
362	173	305
363	174	304
364	174	303
365	174	302
366	175	302
367	175	301
368	175	300
369	176	299
370	176	298
371	176	298
372	177	297
373	177	296
374	177	296
375	177	295
376	178	294
377	178	293
378	178	293
379	179	292
380	179	291
381	179	291
382	180	290
383	180	289
384	180	288
385	181	288
386	181	287
387	181	286
388	182	285
389	182	285
390	182	284
391	183	284
392	183	283
393	183	282
394	184	281
395	184	281
396	184	280
397	184	279
398	185	279
399	185	278
400	185	277
401	186	277
402	186	276
403	186	275
404	187	275
405	187	274
406	187	273
407	188	273
408	188	272
409	189	272
410	189	271
411	189	270
412	190	270
413	190	269
414	190	268
415	190	268
416	191	267
417	191	266
418	191	266
419	192	265
420	192	264
421	192	264
422	193	263
423	193	262
424	193	262
425	194	261
426	194	260
427	194	260
428	195	259
429	195	259
430	195	258
431	196	257
432	196	257
433	196	256
434	197	256
435	197	255
436	197	254
437	198	254
438	198	253
439	198	252
440	198	252
441	199	251
442	199	251
443	199	250
444	200	249
445	200	249
446	201	248
447	202	249
448	202	248
449	202	247
450	203	247
451	203	246
452	204	246
453	204	245
454	204	245
455	204	244
456	205	243
457	205	243
458	206	242
459	206	242
460	206	241
461	207	241
462	207	240
463	207	239
464	207	239
465	208	238
466	208	238
467	208	237
468	209	236
469	209	236
470	209	235
471	210	235
472	210	234
473	210	234
474	211	233
475	211	233
476	212	232
477	212	231
478	212	231
479	213	230
480	213	230
481	213	229
482	214	229
483	214	228
484	214	228
485	215	227
486	215	227
487	215	226
488	216	225
489	216	225
490	216	224
491	217	224
492	217	223
493	217	223
494	218	222
495	218	222
496	218	221
497	219	220
498	219	220
499	219	219
500	220	219
501	220	218
502	220	218
503	221	217
504	221	217
505	221	216
506	222	216
507	222	215
508	222	214
509	223	214
510	223	213
511	223	213
512	224	212
513	224	212
514	225	211
515	225	211
516	225	210
517	226	210
518	226	209
519	226	209
520	227	208
521	227	208
522	227	207
523	228	207
524	228	206
525	228	206
526	229	205
527	229	205
528	229	204
529	230	204
530	230	203
531	230	202
532	231	202
533	231	201
534	231	201
535	231	200
536	232	200
537	232	199
538	232	199
539	233	198
540	233	198
541	234	197
542	234	197
543	234	196
544	235	196
545	235	195
546	235	195
547	236	194
548	236	194
549	236	193
550	237	193
551	237	192
552	237	192
553	238	191
554	238	191
555	238	190
556	239	190
557	239	189
558	239	189
559	240	188
560	240	188
561	240	187
562	241	187
563	241	186
564	241	186
565	242	185
566	242	185
567	242	184
568	243	184
569	243	183
570	243	183
571	244	182
572	244	182
573	244	181
574	245	181
575	245	180
576	246	180
577	246	179
578	246	179
579	247	179
580	247	178
581	247	178
582	248	177
583	248	177
584	248	176
585	249	176
586	249	175
587	249	175
588	250	174
589	250	174
590	250	173
591	251	173
592	251	172
593	251	172
594	252	171
595	252	171
596	252	170
597	253	170
598	253	169
599	254	169
600	254	168
601	254	168
602	255	167
603	255	167
604	255	166
605	256	166
606	256	166
607	256	165
608	257	165
609	257	164
610	257	164
611	258	163
612	258	163
613	258	162
614	259	162
615	259	161
616	259	161
617	260	160
618	260	160
619	261	159
620	261	159
621	261	159
622	261	158
623	262	158
624	262	157
625	262	157
626	263	156
627	263	156
628	263	155
629	264	155
630	264	154
631	264	154
632	265	153
633	265	153
634	266	152
635	266	152
636	266	152
637	267	151
638	267	151
639	267	150
640	268	150
641	268	149
642	269	149
643	269	148
644	269	148
645	270	148
646	270	147
647	270	147
648	271	146
649	271	146
650	271	145
651	272	145
652	272	144
653	272	144
654	273	143
655	273	143
656	273	143
657	274	142
658	274	142
659	274	141
660	275	141
661	275	140
662	276	140
663	276	139
664	276	139
665	277	138
666	277	138
667	277	138
668	278	137
669	278	137
670	278	136
671	279	136
672	279	135
673	279	135
674	280	134
675	280	134
676	280	133
677	281	133
678	281	133
679	281	132
680	282	132
681	282	131
682	282	131
683	282	130
684	283	130
685	283	129
686	283	129
687	284	128
688	284	128
689	284	128
690	285	127
691	285	127
692	285	126
693	286	126
694	286	125
695	286	125
696	287	124
697	287	124
698	287	123
699	288	123
700	288	123
701	288	122
702	289	122
703	289	121
704	289	121
705	289	120
706	290	120
707	290	119
708	290	119
709	291	118
710	291	118
711	291	118
712	292	117
713	292	117
714	292	116
715	293	116
716	293	115
717	293	115
718	294	114
719	294	114
720	294	114
721	295	113
722	295	113
723	295	112
724	296	112
725	296	111
726	296	111
727	297	111
728	297	110
729	297	110
730	298	109
731	298	109
732	298	108
733	299	108
734	299	107
735	299	107
736	299	107
737	300	106
738	300	106
739	300	105
740	301	105
741	301	104
742	301	104
743	302	103
744	302	103
745	302	103
746	303	102
747	303	102
748	303	101
749	304	101
750	304	100
751	304	100
752	305	100
753	305	99
754	305	99
755	305	98
756	306	98
757	306	97
758	306	97
759	307	97
760	307	96
761	307	96
762	308	95
763	308	95
764	308	94
765	309	94
766	309	94
767	309	93
768	310	93
769	310	92
770	310	92
771	311	91
772	311	91
773	311	91
774	312	90
775	312	90
776	312	89
777	312	89
778	313	88
779	313	88
780	313	88
781	314	87
782	314	87
783	314	86
784	315	86
785	315	85
786	315	85
787	316	85
788	316	84
789	316	84
790	317	83
791	317	83
792	317	82
793	318	82
794	318	82
795	318	81
796	319	81
797	319	80
798	319	80
799	320	80
800	320	79
801	320	79
802	321	78
803	321	78
804	321	77
805	322	77
806	322	77
807	322	76
808	323	76
809	323	75
810	323	75
811	324	75
812	324	74
813	324	74
814	325	73
815	325	73
816	326	73
817	326	72
818	326	72
819	327	71
820	327	71
821	327	70
822	328	70
823	328	70
824	328	69
825	329	69
826	329	68
827	329	68
828	330	68
829	330	67
830	330	67
831	331	66
832	331	66
833	331	66
834	332	65
835	332	65
836	332	64
837	332	64
838	333	63
839	333	63
840	333	63
841	334	62
842	334	62
843	335	61
844	335	61
845	336	61
846	336	60
847	336	60
848	337	59
849	337	59
850	337	59
851	337	58
852	338	58
853	338	57
854	338	57
855	339	57
856	339	56
857	339	56
858	340	55
859	340	55
860	340	55
861	341	54
862	341	54
863	341	53
864	342	53
865	342	52
866	342	52
867	343	52
868	343	51
869	343	51
870	343	50
871	344	50
872	344	50
873	345	49
874	345	49
875	345	48
876	345	48
877	346	48
878	346	47
879	346	47
880	347	46
881	347	46
882	347	46
883	348	45
884	348	45
885	348	44
886	349	44
887	349	44
888	349	43
889	350	43
890	350	42
891	350	42
892	351	42
893	351	41
894	351	41
895	352	40
896	352	40
897	352	40
898	353	39
899	353	39
900	353	38
901	354	38
902	354	38
903	354	37
904	355	37
905	355	36
906	355	36
907	355	36
908	356	35
909	356	35
910	356	34
911	357	34
912	357	34
913	357	33
914	358	33
915	358	32
916	358	32
917	359	32
918	359	31
919	359	31
920	360	30
921	360	30
922	360	30
923	361	29
924	361	29
925	361	28
926	362	28
927	362	28
928	362	27
929	363	27
930	363	26
931	363	26
932	363	26
933	364	25
934	364	25
935	364	24
936	365	24
937	365	24
938	365	23
939	366	23
940	366	22
941	366	22
942	367	22
943	367	21
944	367	21
945	368	21
946	368	20
947	368	20
948	368	19
949	369	19
950	369	19
951	369	18
952	370	18
953	370	17
954	370	17
955	371	17
956	371	16
957	371	16
958	372	15
959	372	15
960	372	15
961	373	14
962	373	14
963	373	13
964	374	13
965	374	13
966	374	12
967	374	12
968	375	12
969	375	11
970	375	11
971	376	10
972	376	10
973	376	10
974	377	9
975	377	9
976	377	8
977	378	8
978	378	8
979	378	7
980	379	7
